$ hermes skills list
exit=0

STDOUT:
                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━┓
┃ Name                    ┃ Category             ┃ Source  ┃ Trust   ┃ Status  ┃
│ plan                    │ software-development │ builtin │ builtin │ enabled │
│ python-debugpy          │ software-development │ builtin │ builtin │ enabled │
│ requesting-code-review  │ software-development │ builtin │ builtin │ enabled │
│ simplify-code           │ software-development │ builtin │ builtin │ enabled │
│ spike                   │ software-development │ builtin │ builtin │ enabled │
│ systematic-debugging    │ software-development │ builtin │ builtin │ enabled │
│ test-driven-development │ software-development │ builtin │ builtin │ enabled │
│ tts-cast                │ software-development │ local   │ local   │ enabled │
│ cron-operations         │ sysadmin             │ local   │ local   │ enabled │
│ fritzbox                │ sysadmin             │ local   │ local   │ enabled │
│ hermes-backup           │ sysadmin             │ local   │ local   │ enabled │
│ lan-peer-monitor        │ sysadmin             │ local   │ local   │ enabled │
│ peer-automation         │ sysadmin             │ local   │ local   │ enabled │
│ raspberry-pi            │ sysadmin             │ local   │ local   │ enabled │
│ wireguard-vpn           │ sysadmin             │ local   │ local   │ enabled │
└─────────────────────────┴──────────────────────┴─────────┴─────────┴─────────┘
0 hub-installed, 77 builtin, 31 local — 108 enabled, 0 disabled



STDERR:

